Experiment,Params,Accuracy,FLOPs,Inference Time,Memory
accuracies,0.0,10.984,0.0,0.0,0.0
final_accuracy,0.0,10.984,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,32571812.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.026716150283813474,0.0
flops,0.0,0.0,123234942976.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1521.1953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,42.336,0.0,0.0,0.0
final_accuracy,0.0,42.336,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,21162148.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.023247478246688845,0.0
flops,0.0,0.0,108743622656.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1557.1953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,19.292,0.0,0.0,0.0
final_accuracy,0.0,19.292,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,25911204.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.019896484708786005,0.0
flops,0.0,0.0,64676167680.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1348.1953125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,10.814,0.0,0.0,0.0
final_accuracy,0.0,10.814,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,50822308.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.014708452749252319,0.0
flops,0.0,0.0,50675580928.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,1296.1953125
diagnostics,0.0,0.0,0.0,0.0,0.0
